Date,Mobile Operating System,Percent of Usage
2008-12-01,Android,0
2008-12-01,iOS,32.56
2008-12-01,SymbianOS,42.02
2008-12-01,Series 40,0
2008-12-01,BlackBerry OS,0
2008-12-01,Samsung,0
2008-12-01,Unknown,16
2008-12-01,Windows Phone,0
2008-12-01,Sony Ericsson,0
2008-12-01,Linux,1.66
2008-12-01,bada,0
2008-12-01,Nokia Unknown,0
2008-12-01,LG,0
2008-12-01,Playstation,4.47
2008-12-01,WinCE,2.22
2008-12-01,Nintendo 3DS,0
2008-12-01,Nintendo,0
2008-12-01,webOS,0
2008-12-01,WinXP,0
2008-12-01,Brew,0
2008-12-01,Motorola,0
2008-12-01,Win7,0
2008-12-01,MeeGo,0
2008-12-01,Maemo 5,0
2008-12-01,WinVista,0
2008-12-01,Other,1.07
2009-01-01,Android,0.66
2009-01-01,iOS,35.56
2009-01-01,SymbianOS,39.31
2009-01-01,Series 40,0
2009-01-01,BlackBerry OS,0.95
2009-01-01,Samsung,0
2009-01-01,Unknown,14.73
2009-01-01,Windows Phone,0
2009-01-01,Sony Ericsson,0
2009-01-01,Linux,1.24
2009-01-01,bada,0
2009-01-01,Nokia Unknown,0
2009-01-01,LG,0
2009-01-01,Playstation,4.33
2009-01-01,WinCE,2.1
2009-01-01,Nintendo 3DS,0
2009-01-01,Nintendo,0
2009-01-01,webOS,0
2009-01-01,WinXP,0
2009-01-01,Brew,0
2009-01-01,Motorola,0
2009-01-01,Win7,0
2009-01-01,MeeGo,0
2009-01-01,Maemo 5,0
2009-01-01,WinVista,0
2009-01-01,Other,1.12
2009-02-01,Android,2.06
2009-02-01,iOS,36.43
2009-02-01,SymbianOS,37.04
2009-02-01,Series 40,0
2009-02-01,BlackBerry OS,5.57
2009-02-01,Samsung,0
2009-02-01,Unknown,11.87
2009-02-01,Windows Phone,0
2009-02-01,Sony Ericsson,0
2009-02-01,Linux,0
2009-02-01,bada,0
2009-02-01,Nokia Unknown,0
2009-02-01,LG,0
2009-02-01,Playstation,3.58
2009-02-01,WinCE,1.94
2009-02-01,Nintendo 3DS,0
2009-02-01,Nintendo,0
2009-02-01,webOS,0
2009-02-01,WinXP,0
2009-02-01,Brew,0
2009-02-01,Motorola,0
2009-02-01,Win7,0
2009-02-01,MeeGo,0
2009-02-01,Maemo 5,0
2009-02-01,WinVista,0
2009-02-01,Other,1.52
2009-03-01,Android,2.18
2009-03-01,iOS,39.6
2009-03-01,SymbianOS,35.12
2009-03-01,Series 40,0
2009-03-01,BlackBerry OS,5.97
2009-03-01,Samsung,0
2009-03-01,Unknown,11.29
2009-03-01,Windows Phone,0
2009-03-01,Sony Ericsson,0
2009-03-01,Linux,0
2009-03-01,bada,0
2009-03-01,Nokia Unknown,0
2009-03-01,LG,0
2009-03-01,Playstation,3.18
2009-03-01,WinCE,1.7
2009-03-01,Nintendo 3DS,0
2009-03-01,Nintendo,0
2009-03-01,webOS,0
2009-03-01,WinXP,0
2009-03-01,Brew,0
2009-03-01,Motorola,0
2009-03-01,Win7,0
2009-03-01,MeeGo,0
2009-03-01,Maemo 5,0
2009-03-01,WinVista,0
2009-03-01,Other,0.95
2009-04-01,Android,2.02
2009-04-01,iOS,41.91
2009-04-01,SymbianOS,34.25
2009-04-01,Series 40,0
2009-04-01,BlackBerry OS,6.39
2009-04-01,Samsung,0
2009-04-01,Unknown,10.2
2009-04-01,Windows Phone,0
2009-04-01,Sony Ericsson,0
2009-04-01,Linux,0
2009-04-01,bada,0
2009-04-01,Nokia Unknown,0
2009-04-01,LG,0
2009-04-01,Playstation,2.85
2009-04-01,WinCE,1.55
2009-04-01,Nintendo 3DS,0
2009-04-01,Nintendo,0
2009-04-01,webOS,0
2009-04-01,WinXP,0
2009-04-01,Brew,0
2009-04-01,Motorola,0
2009-04-01,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.85
,Android,1.86
,iOS,37.32
,SymbianOS,39.11
,Series 40,0
,BlackBerry OS,6.92
,Samsung,0
,Unknown,9.88
,Windows Phone,0
,Sony Ericsson,0
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0
,Playstation,2.68
,WinCE,1.41
,Nintendo 3DS,0
,Nintendo,0
,webOS,0
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.82
,Android,0.13
,iOS,35.81
,SymbianOS,40.61
,Series 40,0
,BlackBerry OS,7.91
,Samsung,0
,Unknown,10.61
,Windows Phone,0
,Sony Ericsson,0
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0
,Playstation,2.75
,WinCE,1.35
,Nintendo 3DS,0
,Nintendo,0
,webOS,0
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.83
,Android,2.21
,iOS,34.2
,SymbianOS,24.06
,Series 40,0
,BlackBerry OS,8.55
,Samsung,0.45
,Unknown,23.63
,Windows Phone,0
,Sony Ericsson,1.87
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.06
,Playstation,2.59
,WinCE,1.42
,Nintendo 3DS,0
,Nintendo,0.08
,webOS,0.08
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.79
,Android,2.28
,iOS,33.91
,SymbianOS,34.06
,Series 40,0
,BlackBerry OS,8.86
,Samsung,1.76
,Unknown,6.14
,Windows Phone,0
,Sony Ericsson,6.93
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.34
,Playstation,2.15
,WinCE,2.21
,Nintendo 3DS,0
,Nintendo,0.32
,webOS,0.37
,WinXP,0
,Brew,0
,Motorola,0.03
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.64
,Android,2.32
,iOS,31.13
,SymbianOS,36.29
,Series 40,0
,BlackBerry OS,8.92
,Samsung,1.94
,Unknown,7.12
,Windows Phone,0
,Sony Ericsson,6.79
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.34
,Playstation,1.74
,WinCE,2.1
