Unnamed: 0,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,Rotten Tomatoes Rating
7349,7350,Murder Rap: Inside the Biggie and Tupac Murders,2015,,7.5,,0,0,1,0,0,Michael Dorsey,"Documentary,Crime,Music",United States,English,113.0,NA
7350,7351,Wedding Dress,2010,,7.6,,0,0,1,0,0,Hyeong-jin Kwon,Drama,South Korea,Korean,109.0,NA
7351,7352,The Business of Amateurs,2016,16+,7.4,,0,0,1,0,0,Bob DeMars,"Documentary,Drama,Sport",United States,English,89.0,NA
7352,7353,Bernard and Doris,2006,16+,6.5,,0,0,1,0,0,Bob Balaban,"Biography,Comedy,Drama,Romance","United States,United Kingdom",English,102.0,NA
7353,7354,Bathory: Countess of Blood,2008,18+,5.9,,0,0,1,0,0,Juraj Jakubisko,"Biography,Drama,Fantasy,History","Slovakia,Hungary,Czech Republic,United Kingdom,France",English,141.0,
7354,7355,Sunset Strip,2012,18+,6.8,,0,0,1,0,0,Adam Collis,"Comedy,Drama",United States,English,90.0,NA
7355,7356,Yeh Dillagi,1994,all,6.0,,0,0,1,0,0,Naresh Malhotra,"Comedy,Drama,Musical,Romance",India,Hindi,155.0,NA
7356,7357,Man Friday,1975,7+,6.4,33%,0,0,1,0,0,Jack Gold,"Adventure,Drama","United Kingdom,United States",English,115.0,33
7357,7358,Louise by the Shore,2016,,7.1,,0,0,1,0,0,Jean-François Laguionie,"Animation,Drama","France,Canada",French,75.0,NA
7358,7359,Malevolence 3: Killer,2018,18+,5.8,,0,0,1,0,0,Stevan Mena,Horror,United States,English,89.0,NA
7359,7360,Emma's Chance,2016,7+,6.0,,0,0,1,0,0,Anna Elizabeth James,"Drama,Family,Sport",United States,English,93.0,NA
7360,7361,What Happened in Vegas,2017,18+,6.8,,0,0,1,0,0,Ramsey Denison,Documentary,United States,English,90.0,26
7361,7362,Bill Maher: The Decider,2007,18+,7.2,,0,0,1,0,0,John Moffitt,"Documentary,Comedy",United States,English,60.0,NA
7362,7363,Jilla,2014,all,6.0,,0,0,1,0,0,R.T. Neason,"Action,Drama",India,"Tamil,Malayalam",185.0,NA
7363,7364,Days of Darkness,2007,18+,3.9,20%,0,0,1,0,0,Denys Arcand,"Comedy,Drama,Fantasy","Canada,France","French,English",104.0,20
7364,7365,Innocent Steps,2005,,6.9,,0,0,1,0,0,Young-hoon Park,"Comedy,Drama,Music,Romance",South Korea,"Korean,Mandarin",110.0,NA
7365,7366,Galore,2013,7+,6.2,50%,0,0,1,0,0,Rhys Graham,Drama,Australia,English,103.0,13
7366,7367,Honeyglue,2015,18+,6.3,36%,0,0,1,0,0,James Bird,"Drama,Romance",United States,English,107.0,36
7367,7368,Classic Albums: Iron Maiden - The Number of the Beast,2001,,8.3,,0,0,1,0,0,Tim Kirkby,"Documentary,Music",United States,English,80.0,
7368,7369,Ajnabee,2001,,6.4,,0,0,1,0,0,"Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla","Action,Crime,Drama,Mystery,Thriller",India,Hindi,165.0,NA
7369,7370,Down the Shore,2011,18+,5.9,45%,0,0,1,0,0,Harold Guskin,"Drama,Romance,Thriller",United States,English,93.0,45
7370,7371,The Skull,1965,,6.3,,0,0,1,0,0,Freddie Francis,"Horror,Thriller",United Kingdom,English,83.0,78
7371,7372,Love Live! The School Idol Movie,2015,,7.1,,0,0,1,0,0,Takahiko Kyogoku,"Animation,Comedy,Music",Japan,Japanese,99.0,NA
7372,7373,The Boy Whose Skin Fell Off,2004,,8.7,,0,0,1,0,0,Patrick Collerton,Documentary,United Kingdom,English,50.0,
7373,7374,Mirch Masala,1987,,7.7,,0,0,1,0,0,Ketan Mehta,"Drama,Thriller","United Kingdom,India",Hindi,128.0,NA
7374,7375,Clifford's Really Big Movie,2004,all,5.3,53%,0,0,1,0,0,"Robert C. Ramirez,Steve Trenbirth","Animation,Adventure,Comedy,Family",United States,English,74.0,53
7375,7376,Postman Pat: The Movie,2014,all,4.6,43%,0,0,1,0,0,Mike Disa,"Animation,Comedy,Family","United Kingdom,United States",English,88.0,43
7376,7377,The Grand Duel,1972,18+,6.5,,0,0,1,0,0,Giancarlo Santi,Western,"Italy,West Germany,France",Italian,98.0,NA
7377,7378,Lego Scooby-Doo! Knight Time Terror,2015,,6.6,,0,0,1,0,0,"Rick Morales,Viren Patil","Animation,Short,Comedy,Family,Mystery",United States,English,22.0,
7378,7379,Demonte Colony,2015,7+,6.9,,0,0,1,0,0,R. Ajay Gnanamuthu,"Horror,Thriller",India,Tamil,116.0,
7379,7380,Pipe Dream,2002,18+,5.9,72%,0,0,1,0,0,John Walsh,"Comedy,Romance",United States,English,91.0,72
7380,7381,Local Boys,2002,13+,6.6,,0,0,1,0,0,Ron Moler,Drama,United States,English,102.0,NA
7381,7382,The Mutilator,1985,18+,5.3,,0,0,1,0,0,"Buddy Cooper,John Douglass","Horror,Thriller",United States,English,86.0,NA
7382,7383,An Angel for May,2002,,7.1,,0,0,1,0,0,Harley Cokeliss,"Drama,Family,Fantasy",United Kingdom,English,95.0,NA
7383,7384,Empire of the Wolves,2005,18+,5.9,,0,0,1,0,0,Chris Nahon,"Action,Crime,Drama,Mystery,Thriller",France,French,128.0,NA
7384,7385,Wolf Warrior,2015,,5.4,,0,0,1,0,0,Jing Wu,"Action,Crime,Thriller,War",China,"English,Mandarin",90.0,69
7385,7386,The Eagle,1925,,6.6,,0,0,1,0,0,Dexter Fletcher,"Biography,Comedy,Drama,Family,Sport","United Kingdom,Germany,United States","English,German,Norwegian",106.0,26
7386,7387,Gravy,2015,,5.4,30%,0,0,1,0,0,James Roday,"Comedy,Horror",United States,English,95.0,30
7387,7388,Sharknado 5: Global Swarming,2017,16+,3.9,30%,0,0,1,0,0,Anthony C. Ferrante,"Action,Adventure,Comedy,Fantasy,Horror,Sci-Fi,Thriller",United States,English,93.0,30
7388,7389,Between the Folds,2008,all,7.5,,0,0,1,0,0,Vanessa Gould,Documentary,United States,English,56.0,NA
7389,7390,The Night Visitor,1971,7+,6.6,13%,0,0,1,0,0,Laslo Benedek,"Crime,Thriller,Horror","Sweden,Denmark",English,106.0,13
7390,7391,96 Souls,2016,16+,6.4,,0,0,1,0,0,Stanley Jacobs,"Drama,Mystery,Sci-Fi,Thriller",United States,English,112.0,0
7391,7392,Dead or Alive: Final,2002,,5.7,42%,0,0,1,0,0,Takashi Miike,"Action,Comedy,Crime,Drama,Sci-Fi,Thriller",Japan,"Japanese,Cantonese",89.0,42
7392,7393,Scorched Earth,2018,18+,4.5,20%,0,0,1,0,0,Peter Howitt,"Action,Drama,Sci-Fi,Western","Canada,United States",English,96.0,18
7393,7394,"Yes, Virginia",2009,all,7.1,,0,0,1,0,0,Pete Circuitt,"Animation,Short",United States,English,22.0,NA
7394,7395,Veeram,2014,all,6.5,,0,0,1,0,0,Siva,Action,India,"Tamil,Telugu",161.0,NA
7395,7396,Bomber,1982,,6.4,,0,0,1,0,0,Michele Lupo,"Comedy,Action,Crime",Italy,"Italian,English",101.0,NA
7396,7397,Origin Story,2018,,7.5,,0,0,1,0,0,Kulap Vilaysack,Documentary,United States,"English,Lao",106.0,NA
7397,7398,Invincible Shaolin,1978,18+,7.0,,0,0,1,0,0,Cheh Chang,"Action,Drama",Hong Kong,"Mandarin,Cantonese",98.0,NA
7398,7399,Go for Broke!,1951,,6.7,,0,0,1,0,0,Robert Pirosh,"Drama,History,War",United States,"English,Japanese,Italian,Hawaiian,German,French",92.0,NA
7399,7400,Maari,2015,,6.2,,0,0,1,0,0,Balaji Mohan,"Action,Comedy,Drama",India,Tamil,138.0,NA
7400,7401,Despite the Falling Snow,2016,13+,5.8,9%,0,0,1,0,0,Shamim Sarif,"Drama,Mystery,Romance,Thriller","United Kingdom,Canada",English,93.0,9
7401,7402,Waqt,1965,,7.8,,0,0,1,0,0,Yash Chopra,"Drama,Romance",India,"Hindi,English",178.0,NA
7402,7403,Anina,2015,,7.1,,0,0,1,0,0,Alfredo Soderguit,"Animation,Adventure,Family","Uruguay,Colombia",Spanish,80.0,NA
7403,7404,"Bill Maher: ""... But I'm Not Wrong""",2010,,6.9,,0,0,1,0,0,John Moffitt,Comedy,United States,,79.0,NA
7404,7405,Three and Out,2008,18+,6.2,17%,0,0,1,0,0,Jonathan Gershfield,"Comedy,Drama",United Kingdom,English,106.0,17
7405,7406,Death of a Cheerleader,1994,7+,6.2,,0,0,1,0,0,William A. Graham,"Crime,Drama",United States,English,91.0,NA
7406,7407,Alien Boy: The Life and Death of James Chasse,2013,,8.0,,0,0,1,0,0,Brian Lindstrom,"Documentary,Crime,News",United States,English,90.0,100
7407,7408,Pulling John,2009,all,7.6,,0,0,1,0,0,"Vassiliki Khonsari,Sevan Matossian","Documentary,Sport",United States,English,73.0,NA
7408,7409,Icebreaker,2016,13+,6.2,,0,0,1,0,0,David Giancola,"Action,Drama",United States,English,90.0,NA
7409,7410,Alabama Moon,2009,7+,6.5,,0,0,1,0,0,Tim McCanlies,"Drama,Family",United States,English,99.0,NA
7410,7411,The Passion of Darkly Noon,1995,18+,5.9,17%,0,0,1,0,0,Philip Ridley,"Drama,Mystery,Thriller","United Kingdom,Germany,Belgium",English,100.0,44
7411,7412,You & I,2015,,5.9,,0,0,1,0,0,Nils Bökamp,"Drama,Romance",Germany,"German,English,Polish",79.0,69
7412,7413,Love Meetings,1965,,7.5,,0,0,1,0,0,Pier Paolo Pasolini,Documentary,Italy,Italian,92.0,NA
7413,7414,Mere Yaar Ki Shaadi Hai,2002,all,5.3,,0,0,1,0,0,Sanjay Gadhvi,"Comedy,Drama,Romance",India,Hindi,158.0,NA
7414,7415,Classic Albums: Nirvana - Nevermind,2005,,7.9,,0,0,1,0,0,Bob Smeaton,"Documentary,Music","United States,United Kingdom",,74.0,NA
7415,7416,One More Time,2016,,5.2,53%,0,0,1,0,0,Robert Edwards,"Comedy,Drama,Music",United States,English,98.0,100
7416,7417,The Man Who Saw Too Much,2015,,7.6,89%,0,0,1,0,0,Trisha Ziff,Documentary,"Mexico,United States","Spanish,English",89.0,89
7417,7418,The First of the Few,1942,all,7.0,,0,0,1,0,0,Leslie Howard,"Adventure,Biography,Drama,War",United Kingdom,"English,Italian,German",118.0,NA
7418,7419,The Way I Spent the End of the World,2006,,7.2,,0,0,1,0,0,Cãtãlin Mitulescu,Drama,"Romania,France",Romanian,106.0,NA
7419,7420,One Million Dubliners,2014,,8.3,,0,0,1,0,0,Aoife Kelleher,"Documentary,Drama,History,Mystery",Ireland,English,80.0,NA
7420,7421,The Red Queen Kills Seven Times,1972,7+,6.6,,0,0,1,0,0,Emilio Miraglia,"Crime,Horror,Mystery,Thriller","Italy,West Germany,Monaco",Italian,99.0,NA
7421,7422,Howard Lovecraft & the Frozen Kingdom,2016,7+,5.8,,0,0,1,0,0,Lewis Lovhaug,"Short,Horror",,,,NA
7422,7423,Irresistible,2006,18+,5.7,20%,0,0,1,0,0,Jon Stewart,"Comedy,Drama",United States,English,,16
7423,7424,Dear Santa,2011,7+,6.4,,0,0,1,0,0,Jason Priestley,Drama,Canada,English,90.0,92
7424,7425,A Frosty Affair,2015,16+,6.2,,0,0,1,0,0,Dylan Pearce,"Adventure,Comedy,Romance",Canada,English,96.0,NA
7425,7426,Tim,1979,,6.4,,0,0,1,0,0,Michael Pate,"Drama,Romance",Australia,English,109.0,NA
7426,7427,Bounty,2011,,9.3,,0,0,1,0,0,Roger Donaldson,"Adventure,Drama,History,Romance","United Kingdom,United States,New Zealand",English,132.0,12
7427,7428,Officers,1971,,7.7,,0,0,1,0,0,Vladimir Rogovoy,"Drama,Romance,War",Soviet Union,Russian,96.0,80
7428,7429,Red Flag,2012,,5.5,74%,0,0,1,0,0,Sean Penn,"Drama,Mystery,Thriller",United States,,,74
7429,7430,Molly Moon and the Incredible Book of Hypnotism,2015,7+,5.3,29%,0,0,1,0,0,Christopher N. Rowley,"Adventure,Family,Fantasy",United Kingdom,English,98.0,29
7430,7431,Cinema Verite,2011,16+,6.5,,0,0,1,0,0,"Shari Springer Berman,Robert Pulcini",Drama,United States,English,86.0,61
7431,7432,"Love, Kennedy",2017,7+,6.4,,0,0,1,0,0,T.C. Christensen,Drama,United States,English,92.0,NA
7432,7433,Shaan,1980,,7.1,,0,0,1,0,0,Ramesh Sippy,"Action,Adventure,Crime,Drama,Thriller",India,Hindi,181.0,18
7433,7434,The Vampire Bat,1933,,5.7,60%,0,0,1,0,0,Frank R. Strayer,"Drama,Horror,Mystery,Romance,Sci-Fi",United States,English,65.0,60
7434,7435,Burial Ground,1981,,5.7,,0,0,1,0,0,Andrea Bianchi,Horror,Italy,Italian,85.0,NA
7435,7436,Our City Dreams,2008,,6.7,75%,0,0,1,0,0,Chiara Clemente,Documentary,United States,"English,French,Arabic",85.0,75
7436,7437,Nancy Drew... Reporter,1939,,6.7,,0,0,1,0,0,William Clemens,"Comedy,Crime,Mystery",United States,English,68.0,NA
7437,7438,Venky Mama,2019,,5.5,,0,0,1,0,0,Bobby Kolli,"Action,Comedy,Drama",India,Telugu,149.0,
7438,7439,Wild Combination: A Portrait of Arthur Russell,2008,,7.5,,0,0,1,0,0,Matt Wolf,"Documentary,Romance",United States,English,71.0,100
7439,7440,My First Miracle,2015,7+,7.0,,0,0,1,0,0,Rudy Luna,"Drama,Family,Romance",United States,,111.0,NA
7440,7441,The Nature of Existence,2010,,6.5,64%,0,0,1,0,0,Roger Nygard,Documentary,United States,English,94.0,64
7441,7442,Arcadia,2012,,6.1,60%,0,0,1,0,0,Colin Trevorrow,"Action,Adventure,Sci-Fi,Thriller",United States,English,,NA
7442,7443,The Timber,2015,,5.0,,0,0,1,0,0,Anthony O'Brien,"Action,Adventure,Drama,Western",United States,English,81.0,NA
7443,7444,JFK: The Smoking Gun,2013,,7.2,,0,0,1,0,0,Malcolm Mcdonald,"Documentary,Crime,History",Canada,English,120.0,NA
7444,7445,Aradhana,1969,,7.6,,0,0,1,0,0,Shakti Samanta,"Drama,Musical,Romance",India,Hindi,169.0,NA
7445,7446,Mad Monkey Kung Fu,1979,18+,6.8,,0,0,1,0,0,Chia-Liang Liu,"Action,Comedy",Hong Kong,"Cantonese,Mandarin",116.0,NA
7446,7447,The Sensation of Sight,2006,18+,6.6,50%,0,0,1,0,0,Aaron J. Wiederspahn,Drama,United States,English,134.0,50
7447,7448,They Nest,2000,13+,5.2,,0,0,1,0,0,Ellory Elkayem,"Sci-Fi,Horror","United States,Canada",English,92.0,NA
7448,7449,Grant Morrison: Talking with Gods,2010,,7.7,,0,0,1,0,0,Patrick Meaney,Documentary,United States,English,80.0,NA
7449,7450,Skills Like This,2007,,6.1,59%,0,0,1,0,0,Monty Miranda,Comedy,United States,English,88.0,59
7450,7451,The Empire in Africa,2006,,7.2,67%,0,0,1,0,0,Philippe Diaz,Documentary,"France,United States","English,French",87.0,67
7451,7452,Uranya,2006,,6.6,,0,0,1,0,0,Costas Kapakas,Comedy,"Greece,Italy",Greek,100.0,NA
7452,7453,The Fanatic,2019,18+,4.3,16%,0,0,1,0,0,Fred Durst,"Crime,Thriller",United States,English,88.0,16
7453,7454,Samurai Cop,1991,18+,4.6,,0,0,1,0,0,Amir Shervan,"Action,Crime,Thriller",United States,English,96.0,NA
7454,7455,Baked in Brooklyn,2016,,5.4,,0,0,1,0,0,Rory Rooney,"Comedy,Crime,Drama,Romance",United States,,86.0,NA
7455,7456,Bad Kids Go To Hell,2012,18+,4.5,44%,0,0,1,0,0,Matthew Spradlin,"Comedy,Mystery,Thriller",United States,English,91.0,44
7456,7457,Cottage Country,2013,16+,5.6,20%,0,0,1,0,0,Peter Wellington,"Comedy,Crime,Horror,Romance",Canada,English,91.0,33
7457,7458,Starcrash,1978,7+,4.0,29%,0,0,1,0,0,Luigi Cozzi,"Action,Adventure,Sci-Fi","United States,Italy","English,Italian",92.0,29
7458,7459,Arima Nambi,2014,,6.9,,0,0,1,0,0,Anand Shankar,"Action,Thriller",India,Tamil,151.0,NA
7459,7460,Infestation,2009,18+,5.9,,0,0,1,0,0,Kyle Rankin,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",United States,English,91.0,NA
7460,7461,Legends of the Knight,2013,,7.8,,0,0,1,0,0,Brett Culp,"Documentary,Biography,Family,History",United States,English,76.0,NA
7461,7462,Madhouse,1974,7+,6.3,,0,0,1,0,0,Ovidio G. Assonitis,Horror,Italy,English,92.0,NA
7462,7463,Sriracha,2013,,7.4,,0,0,1,0,0,Griffin Hammond,"Documentary,Short,Biography,News","Thailand,United States",English,33.0,NA
7463,7464,I Witness,2003,18+,5.8,,0,0,1,0,0,Rowdy Herrington,"Action,Crime,Drama,Romance,Thriller","United States,Germany","English,Spanish,Portuguese",95.0,NA
7464,7465,Ellen DeGeneres: Here and Now,2003,7+,7.7,,0,0,1,0,0,Joel Gallen,"Comedy,Documentary",United States,English,60.0,NA
7465,7466,Aakrosh,2010,13+,7.0,,0,0,1,0,0,Priyadarshan,"Action,Crime,Thriller",India,"Hindi,English",115.0,NA
7466,7467,Becoming Zlatan,2016,all,6.6,,0,0,1,0,0,"Fredrik Gertten,Magnus Gertten","Documentary,Biography,Sport","Sweden,Netherlands,Italy","Swedish,English,Dutch,Italian",100.0,NA
7467,7468,Death in Buenos Aires,2014,18+,5.7,,0,0,1,0,0,Natalia Meta,"Crime,Drama,Mystery,Romance,Thriller",Argentina,Spanish,90.0,NA
7468,7469,14+,2015,,6.9,,0,0,1,0,0,Andrey Zaytsev,"Drama,Romance",Russia,Russian,102.0,79
7469,7470,111 Girls,2013,,7.1,,0,0,1,0,0,"Nahid Ghobadi,Bijan Zmanpira",Drama,Iran,"Persian,Kurdish",79.0,NA
7470,7471,Certain Prey,2011,,5.4,,0,0,1,0,0,Chris Gerolmo,"Action,Crime,Thriller",United States,English,85.0,NA
7471,7472,Artificial Paradises,2012,,6.4,,0,0,1,0,0,Marcos Prado,Drama,Brazil,Portuguese,96.0,80
7472,7473,One of Our Aircraft Is Missing,1942,,7.0,,0,0,1,0,0,"Michael Powell,Emeric Pressburger","Action,Adventure,Drama,War",United Kingdom,"English,Dutch,German,Latin,French",102.0,NA
7473,7474,Kathleen Madigan: Gone Madigan,2010,,7.5,,0,0,1,0,0,Shannon Hartman,"Documentary,Comedy",United States,English,64.0,NA
7474,7475,That Gal...Who Was in That Thing: That Guy 2,2015,,7.3,,0,0,1,0,0,Ian Roumain,Documentary,United States,English,80.0,NA
7475,7476,Ephraim's Rescue,2013,7+,6.1,,0,0,1,0,0,T.C. Christensen,"Adventure,Drama,History",United States,English,99.0,NA
7476,7477,Generation Aami,2018,,7.6,,0,0,1,0,0,Mainak Bhaumik,Drama,India,Bengali,118.0,
7477,7478,"Bless You, Prison",2002,,7.4,,0,0,1,0,0,Nicolae Margineanu,Drama,Romania,Romanian,90.0,NA
7478,7479,Roads to Koktebel,2003,,7.0,,0,0,1,0,0,"Boris Khlebnikov,Aleksey Popogrebskiy","Adventure,Drama,Romance",Russia,Russian,100.0,NA
7479,7480,Butterfly Kisses,2018,all,5.8,,0,0,1,0,0,Erik Kristopher Myers,"Horror,Mystery",United States,English,91.0,NA
7480,7481,Easy Money III: Life Deluxe,2013,,6.2,,0,0,1,0,0,Jens Jonsson,"Crime,Drama,Thriller",Sweden,"Swedish,Spanish,English,Serbian,Arabic",127.0,NA
7481,7482,Welcome to Happiness,2015,13+,6.1,31%,0,0,1,0,0,Oliver Thompson,"Comedy,Drama,Fantasy",United States,English,108.0,31
7482,7483,Baghdad ER,2006,18+,8.0,,0,0,1,0,0,"Jon Alpert,Matthew O'Neill",Documentary,United States,English,64.0,NA
7483,7484,Mad As Hell,2014,,5.8,27%,0,0,1,0,0,Andrew Napier,"Documentary,Biography,Comedy,Drama,History",United States,English,80.0,27
7484,7485,Babar: The Movie,1989,all,6.3,,0,0,1,0,0,Alan Bunce,"Animation,Adventure,Family,Fantasy,Musical","Canada,France","English,French",70.0,NA
7485,7486,El Alamein,2002,,7.1,,0,0,1,0,0,Enzo Monteleone,"Drama,War",Italy,Italian,117.0,NA
7486,7487,Graduation Day,1981,18+,4.8,57%,0,0,1,0,0,Herb Freed,"Horror,Mystery,Thriller",United States,English,96.0,57
7487,7488,Zus & Zo,2001,,6.2,42%,0,0,1,0,0,Paula van der Oest,"Comedy,Fantasy,Romance",Netherlands,"Dutch,English,French,Portuguese",106.0,42
7488,7489,The Case of the Bloody Iris,1972,,6.5,,0,0,1,0,0,Giuliano Carnimeo,"Mystery,Thriller",Italy,Italian,94.0,NA
7489,7490,Eichmann,2007,18+,5.9,38%,0,0,1,0,0,Chris Weitz,"Biography,Drama,History,Thriller,War",United States,"English,Spanish,French,German",122.0,38
7490,7491,Diana Krall: Live in Paris,2002,,8.6,,0,0,1,0,0,David Barnard,Music,United States,English,113.0,NA
7491,7492,Finding Family,2013,13+,9.1,,0,0,1,0,0,"Chris Leslie,Oggi Tomic","Documentary,Family,History,War","United Kingdom,Bosnia and Herzegovina","Bosnian,English",56.0,NA
7492,7493,Spin,2003,13+,6.3,43%,0,0,1,0,0,,Comedy,United States,English,30.0,95
7493,7494,Madha,2020,,5.3,,0,0,1,0,0,Srividya Basawa,"Mystery,Thriller",India,Telugu,113.0,NA
7494,7495,...And Your Name Is Jonah,1979,7+,7.1,,0,0,1,0,0,Richard Michaels,Drama,United States,"English,American Sign Language,Brazilian Sign Language",100.0,NA
7495,7496,The Darkness,2016,13+,4.4,3%,0,0,1,0,0,Alejandro Amenábar,"Horror,Mystery,Thriller","Spain,United States,France,Italy","English,French",101.0,87
7496,7497,Beyond the Myth: A Film About Pit Bulls and Breed Discrimination,2010,,8.2,,0,0,1,0,0,Libby Sherrill,Documentary,United States,English,92.0,NA
7497,7498,Yessongs,1975,all,7.9,,0,0,1,0,0,Peter Neal,"Documentary,Music",United States,English,72.0,NA
7498,7499,The Akron Holy War,2017,7+,7.6,,0,0,1,0,0,Anthony Fanelli,"Documentary,Action,Sport",United States,English,94.0,NA
