ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Kind,Seasons Count
1,Inception,2010,13+,8.8,87%,1,0,0,0,0,movie,NA
2,The Matrix,1999,18+,8.7,87%,1,0,0,0,0,movie,NA
3,Avengers: Infinity War,2018,13+,8.5,84%,1,0,0,0,0,movie,NA
4,Back to the Future,1985,7+,8.5,96%,1,0,0,0,0,movie,NA
5,"The Good, the Bad and the Ugly",1966,18+,8.8,97%,1,0,1,0,0,movie,NA
6,Spider-Man: Into the Spider-Verse,2018,7+,8.4,97%,1,0,0,0,0,movie,NA
7,The Pianist,2002,18+,8.5,95%,1,0,1,0,0,movie,NA
8,Django Unchained,2012,18+,8.4,87%,1,0,0,0,0,movie,NA
9,Raiders of the Lost Ark,1981,7+,8.4,95%,1,0,0,0,0,movie,NA
10,Inglourious Basterds,2009,18+,8.3,89%,1,0,0,0,0,movie,NA
11,Taxi Driver,1976,18+,8.3,95%,1,0,0,0,0,movie,NA
12,3 Idiots,2009,13+,8.4,100%,1,0,1,0,0,movie,NA
13,Pan's Labyrinth,2006,18+,8.2,95%,1,0,0,0,0,movie,NA
14,Room,2015,18+,8.1,93%,1,0,0,0,0,movie,NA
15,Monty Python and the Holy Grail,1975,7+,8.2,97%,1,0,0,0,0,movie,NA
16,Once Upon a Time in the West,1968,13+,8.5,95%,1,0,1,0,0,movie,NA
17,Indiana Jones and the Last Crusade,1989,13+,8.2,88%,1,0,0,0,0,movie,NA
18,Groundhog Day,1993,7+,8.0,96%,1,0,0,0,0,movie,NA
19,The King's Speech,2010,18+,8.0,95%,1,0,0,0,0,movie,NA
20,Her,2013,18+,8.0,95%,1,0,0,0,0,movie,NA
21,There Will Be Blood,2007,18+,8.2,91%,1,0,0,0,0,movie,NA
22,The Social Network,2010,13+,7.7,96%,1,0,0,0,0,movie,NA
23,Dallas Buyers Club,2013,18+,8.0,93%,1,0,0,0,0,movie,NA
24,The Perks of Being a Wallflower,2012,13+,8.0,86%,1,0,0,0,0,movie,NA
