ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Kind,Seasons Count
8401,A Blade in the Dark,1983,,6.0,,0,0,1,0,0,movie,NA
8402,Andaz,1949,,7.3,,0,0,1,0,0,movie,NA
8403,The Elephant and the Butterfly,2017,,6.5,,0,0,1,0,0,movie,NA
8404,Shola Aur Shabnam,1992,,6.5,,0,0,1,0,0,movie,NA
8405,Ash Wednesday,2002,18+,5.9,10%,0,0,1,0,0,movie,NA
8406,Dead Hearts,2014,,6.8,,0,0,1,0,0,movie,NA
8407,Death Laid an Egg,1968,,6.0,,0,0,1,0,0,movie,NA
8408,Montana,1998,18+,6.3,,0,0,1,0,0,movie,NA
8409,Cook-Off!,2007,18+,4.1,14%,0,0,1,0,0,movie,NA
8410,Art Show Bingo,2017,,6.1,,0,0,1,0,0,movie,NA
8411,"Leaving Home, Coming Home: A Portrait of Robert Frank",2019,,5.8,90%,0,0,1,0,0,movie,NA
8412,Sunday Too Far Away,1975,,7.1,,0,0,1,0,0,movie,NA
8413,Margaret,2009,16+,7.2,,0,0,1,0,0,movie,NA
8414,The Royal Hunt of the Sun,1969,all,6.4,,0,0,1,0,0,movie,NA
8415,Live Cargo,2016,,4.6,36%,0,0,1,0,0,movie,NA
8416,The Past Is a Grotesque Animal,2014,,7.3,,0,0,1,0,0,movie,NA
8417,Formosa Betrayed,2010,18+,6.1,34%,0,0,1,0,0,movie,NA
8418,Dimension Z,2017,18+,6.7,,0,0,1,0,0,movie,NA
8419,Return of the Street Fighter,1974,18+,6.4,,0,0,1,0,0,movie,NA
8420,The Way West,1967,,6.2,,0,0,1,0,0,movie,NA
8421,Born to Be King,2000,,6.4,,0,0,1,0,0,movie,NA
8422,Crazy Kind of Love,2013,18+,5.8,,0,0,1,0,0,movie,NA
8423,Go Ask Alice,1973,,6.2,,0,0,1,0,0,tv movie,NA
8424,Intern Academy,2004,18+,5.5,,0,0,1,0,0,movie,NA
8425,Nadiya Ke Paar,1982,all,7.9,,0,0,1,0,0,movie,NA
8426,Love Hurts,2009,13+,5.6,29%,0,0,1,0,0,movie,NA
8427,The Other Side of the Ice,2013,,5.6,50%,0,0,1,0,0,movie,NA
8428,Slumber Party Massacre II,1987,18+,4.6,,0,0,1,0,0,movie,NA
8429,The Nest,1988,18+,5.3,,0,0,1,0,0,movie,NA
8430,Miles,2017,,5.8,,0,0,1,0,0,movie,NA
8431,The Divorce of Lady X,1938,,6.7,,0,0,1,0,0,movie,NA
8432,The Killer Shrews,1959,,4.0,50%,0,0,1,0,0,movie,NA
8433,Recoil,2011,18+,5.2,,0,0,1,0,0,movie,NA
8434,Sol Goode,2003,18+,5.4,,0,0,1,0,0,movie,NA
8435,Forget Me Not,2009,18+,5.2,,0,0,1,0,0,movie,NA
8436,Cliffy,2013,,7.1,,0,0,1,0,0,tv movie,NA
8437,The Capture,2017,,5.3,,0,0,1,0,0,tv mini series,2
8438,Road North,2012,,6.4,,0,0,1,0,0,movie,NA
8439,Dear Albania,2015,,5.9,,0,0,1,0,0,movie,NA
