Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Directors,Genres,Country,Language,Runtime,Age Restriction,Plotline,Rating,Cast,Indian Rating,Seasons Count,Kind
0,Breaking Bad,2008,18+,9.5,96%,1,0,0,0,1,NA,"Crime,Drama,Thriller",United States,"English,Spanish",49,NA,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. Determined to ensure that his family will have a secure future, Walt embarks on a career of drugs and crime. He proves to be remarkably proficient in this new world as he begins manufacturing and selling methamphetamine with one of his former students. The series tracks the impacts of a fatal diagnosis on a regular, hard working man, and explores how a fatal diagnosis affects his morality and transforms him into a major player of the drug trade.",9.5,"Bryan Cranston,Anna Gunn,Aaron Paul,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell,Krysten Ritter,Carmen Serano,Emily Rios,Tina Parker,Mark Margolis,Jeremiah Bitsui,Ian Posada,David Costabile,Michael Bowen,David House,Kevin Rankin,Daniel Moncada,Patrick Sane,Moira Bryg MacDonald,Jessica Hecht,Bill Burr,Marius Stan,Rodney Rush,Todd Terry,Luis Moncada,Kaija Bales,Tait Fletcher,Matthew T. Metzler,Raymond Cruz,Tess Harper,John de Lancie,Jere Burns,Nigel Gibbs,Tom Kiesche,Maurice Compte,Morse Bicknell,Christopher King","Argentina:18,Australia:MA15+,Brazil:16,Brazil:14::(some episodes),Canada:14A,Canada:13+::(Québec),Canada:14+::(TV Rating),Chile:18,Colombia:15,Denmark:15,Finland:K-12::(most episodes),Finland:K-16::(some episodes),France:Tous publics::(with warning),Germany:16,Hungary:18,Iceland:16,India:18::(self-applied),Ireland:18::(some episodes, Season 1-2, 4-5 DVD),Ireland:15::(some episodes, Season 3, 6 DVD),Italy:VM14::(self-applied),Japan:R18+,Mexico:C,Netherlands:16,New Zealand:R16::(most episodes, Season 1-3, 5-6 DVD),New Zealand:M::(one episode),New Zealand:R13::(some episodes),New Zealand:R18::(some episodes, Season 4 DVD),Norway:15,Poland:12,Portugal:M/16,Russia:18+,Singapore:M18,Singapore:NC16::(final season),South Africa:16,South Korea:18,Spain:16,Sweden:15,Thailand:20::(seasons 1-3),Thailand:15::(seasons 4-5),United Kingdom:15::(most episodes, Season 2-3, 5-6 DVD),United Kingdom:12::(one episode),United Kingdom:18::(some episodes, Season 1, 4 DVD),United States:TV-MA,United States:TV-14::(some episodes),Ukraine:18,Vietnam:C18",5,tv series
1,Stranger Things,2016,16+,8.8,93%,1,0,0,0,1,NA,"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",United States,"English,Russian",51,NA,"In a small town where everyone knows everyone, a peculiar incident starts a chain of events that leads to the disappearance of a child, which begins to tear at the fabric of an otherwise peaceful community. Dark government agencies and seemingly malevolent supernatural forces converge on the town, while a few of the locals begin to understand that there's more going on than meets the eye.",8.7,"Winona Ryder,David Harbour,Finn Wolfhard,Millie Bobby Brown,Gaten Matarazzo,Caleb McLaughlin,Natalia Dyer,Charlie Heaton,Joe Keery,Cara Buono,Noah Schnapp,Sadie Sink,Priah Ferguson,Dacre Montgomery,Maya Hawke,Brett Gelman,Joe Chrest,Rob Morgan,John Reynolds,Matthew Modine,Randy Havens,Sean Astin,Paul Reiser,Susan Shalhoub Larkin,Tinsley Price,Sherman Augustus,Jamie Campbell Bower,Nikola Djuricko,Eduardo Franco,Joseph Quinn,Catherine Curtin,Andrey Ivchenko,Chester Rushing,Anniston Price,Mark Steger,Shannon Purser,Francesca Reale,Tobias Jelinek,Chelsea Talmadge,Jake Busey,Cary Elwes,Aimee Mullins,Michael Park,Catherine Dyer,Peyton Wich,Ross Partridge,Peggy Miley,Alec Utgoff,Hugh B. Holub,Cynthia Barrett","Argentina:16,Australia:M,Australia:MA15+::(season 3),Brazil:14::(season 1),Brazil:16::(seasons 2 and 3),Canada:14A,Canada:13+::(Quebec),France:16,Germany:16,Hong Kong:IIB,India:15::(self-applied),India:U::(some episodes),Italy:VM14,Japan:PG12::(self-applied),Malaysia:P13,Mexico:TV-14::(self-applied),Netherlands:16,New Zealand:M::(Season 1-2),New Zealand:R16::(Season 3),Nigeria:12A,Norway:16::(Netflix self-rating),Philippines:PG-13,Portugal:16,Russia:16+,Saudi Arabia:PG12,Singapore:NC16,South Korea:15,Spain:16,Spain:13::(self-applied),United Kingdom:15,United Kingdom:12::(some episodes),United States:TV-14,Vietnam:C16",4,tv series
2,Money Heist,2017,18+,8.4,91%,1,0,0,0,1,NA,"Action,Crime,Mystery,Thriller",Spain,"Spanish,Russian,Serbian,English",70,NA,NA,8.3,"Úrsula Corberó,Álvaro Morte,Itziar Ituño,Pedro Alonso,Miguel Herrán,Jaime Lorente,Esther Acebo,Enrique Arce,Darko Peric,Alba Flores,Fernando Soto,Mario de la Rosa,Juan Fernández,Rocco Narva,Paco Tous,Kiti Mánver,Hovik Keuchkerian,Rodrigo De la Serna,Najwa Nimri,Luka Peros,Fernando Cayo,Roberto Garcia,María Pedraza,Antonio Cuellar Rodriguez,Olalla Hernández,Anna Gras,Carlos Suárez,Mari Carmen Sánchez,Antonio Romero,Pep Munné,Clara Alvarado,Ahikar Azcona,Belén Cuesta,Cristina Saavedra,José Manuel Poga,Fran Morcillo,Miquel García Borda,René León,Naia Guz,Mikel Bustamante,Xavi Ortuzar,Alberto Lobo,Francisco Javier Pastor,Diana Gómez,Agnès Llobet,Sara Solomando,Ajay Jethi,Pep Tosar,Pedro Pablo Isla,Roman Rymar","Argentina:16,Australia:MA15+::(Netflix self-rating),Brazil:16,Canada:TV-MA::(self-applied),France:16,Germany:16,India:16+::(self-applied),Italy:VM14,Japan:R18+::(self-applied),Mexico:TV-MA::(self-applied),Netherlands:12::(season 1),Netherlands:16::(seasons 2-4),Singapore:M18,South Korea:18,Spain:16,Turkey:15+,United Kingdom:15,United Kingdom:18::(season 4),United States:TV-MA,Vietnam:C18",5,tv series
3,Sherlock,2010,16+,9.1,78%,1,0,0,0,1,NA,"Crime,Drama,Mystery,Thriller","United Kingdom,United States",English,88,NA,"In this modernized version of the Conan Doyle characters, using his detective plots, Sherlock Holmes lives in early 21st century London and acts more cocky towards Scotland Yard's detective inspector Lestrade because he's actually less confident. Doctor Watson is now a fairly young veteran of the Afghan war, less adoring and more active.",9.1,"Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,Louise Brealey,Mark Gatiss,Andrew Scott,Amanda Abbington,Jonathan Aris,Vinette Robinson,Tanya Moodie,Lindsay Duncan,Yasmine Akram,Sian Brooke,David Nellist,Simon Kunz,Timothy Carlton,Wanda Ventham,Lisa McAllister,Zoe Telford,Paul Chequer,Tom Brooke,Lara Pulver,Ed Birch,Phil Davis,Adam Greaves-Neal,Honor Kneafsey,Lars Mikkelsen,Gemma Chan,Zawe Ashton,Al Weaver,Russell Tovey,Bertie Carvel,Siobhan Hewlett,Joseph Long,Amelia Bullmore,Katherine Parkinson,Danny Webb,Toby Jones,Matthew Needham,Daniel Percival,William Scott-Masson,Andrew Havill,Clive Mantle,Kemal Sylvester,Victoria Wicks,Todd Boyce,Simon Paisley Day,David Fynn,Alistair Petrie","Australia:M,Brazil:14,Canada:14A,Canada:G::(Québec),Chile:13+::(Netflix self-rating),Czech Republic:15,Denmark:15,Finland:K-16,France:Tous publics,Germany:12,Hong Kong:IIB,Hungary:16,India:UA,Ireland:15,Ireland:12::(some episodes),Italy:T,Japan:G::(self-applied),Mexico:TV-14::(self-applied),Netherlands:16,New Zealand:M,Norway:12::(Netflix self-rating),Poland:16,Russia:16+,Singapore:PG13,South Africa:13,South Korea:15,Spain:13::(Netflix),Sweden:11,Thailand:15,United Kingdom:15,United Kingdom:12::(most episodes),United States:TV-14",4,tv series
4,Better Call Saul,2015,18+,8.7,97%,1,0,0,0,1,NA,"Crime,Drama",United States,"English,Spanish,Vietnamese",46,NA,"Before Saul Goodman, he was Jimmy McGill. And if you're calling Jimmy, you're in real trouble. The prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into Walter White's morally challenged lawyer, Saul Goodman.",8.7,"Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,Michael Mando,Michael McKean,Giancarlo Esposito,Kerry Condon,Mark Margolis,Cara Pifko,Jeremiah Bitsui,Tony Dalton,Dennis Boutsikaris,Rex Linn,Josh Fadem,Julian Bonfiglio,Ray Campbell,John Christian Love,Vincent Fuentes,Tina Parker,Juan Carlos Cantu,Peter Diseth,Eileen Fogarty,Hayley Holmes,Abigail Zoe Lewis,Eric Steinig,Ed Begley Jr.,Javier Grajeda,Max Arciniega,Jessie Ennis,Omar Maskati,Audrey Moore,James E. Dowling,Rainer Bock,Joe DeRosa,Luis Moncada,Daniel Moncada,Sarah Minnich,Ann Cusack,Lavell Crawford,Keiko Agena,Ben Bela Böhm,Stefan Kapicic,Luis Bordonada,Ammie Masterson,Victoria Pham-Gilchrist,David DeLao,Hans Obma,Jilon VanOver,Robin Ward Holloway","Argentina:16,Australia:M,Australia:MA15+::(season 4 & 5),Brazil:14,Canada:PG,Canada:13+::(Québec),Canada:G::(Québec),Czech Republic:18,Denmark:15,Finland:K-12::(most episodes),Finland:K-16::(some episodes season 4),Finland:K-7::(some episodes),Finland:S::(some episodes),France:Tous publics avec avertissement,France:Tous publics::(season 1),Germany:16,Germany:12::(most episodes),India:16+::(self-applied),Ireland:15,Ireland:12::(some episodes),Italy:T::(season 4),Italy:T::(with warning),Japan:R18+::(self-applied),Mexico:TV-MA::(self-applied),Netherlands:16,Netherlands:12::(season 3),New Zealand:R16,Norway:15,Russia:16+,Singapore:NC16,South Africa:13,South Korea:18::(season 1),South Korea:15::(season 2),Spain:16,Sweden:15,United Kingdom:15,United Kingdom:12::(most episodes),United Kingdom:PG::(some episodes),United States:TV-MA,United States:TV-14::(original TV rating)",6,tv series
5,The Office,2005,16+,8.9,81%,1,0,0,0,1,NA,Comedy,United States,English,22,NA,"A mediocre paper company in the hands of Scranton, PA branch manager Michael Scott. This mockumentary follows the everyday lives of the manager and the employees he ""manages."" The crew follows the employees around 24/7 and captures their quite humorous and bizarre encounters as they will do what it takes to keep the company thriving.",8.9,"Rainn Wilson,John Krasinski,Leslie David Baker,Brian Baumgartner,Angela Kinsey,Kate Flannery,Phyllis Smith,Jenna Fischer,Creed Bratton,Oscar Nuñez,Mindy Kaling,B.J. Novak,Ed Helms,Steve Carell,Paul Lieberstein,Craig Robinson,Ellie Kemper,Zach Woods,Melora Hardin,Andy Buckley,Catherine Tate,David Denman,Rashida Jones,James Spader,Robert R. Shafer,Hugh Dane,Jake Lacy,Clark Duke,Mark Proksch,Amy Ryan,David Koechner,Calvin Tenner,Ameenah Kaplan,Jack Coleman,Michael Schur,Lindsey Broad,Linda Purl,Kathy Bates,Hidetoshi Imura,Charles Esten,Idris Elba,Nancy Carell,Karly Rothenberg,Ursula Burton,Sam Richardson,Chris Diamantopoulos,Amy Pietz,Nelson Franklin,Lee Eisenberg,Nora Kirkpatrick","Argentina:16,Australia:M::(most episodes, Season 1-9 DVD),Australia:G::(one episode),Australia:PG::(some episodes),Brazil:12,Canada:G::(Quebec),Canada:14A::(Season 1-9),Denmark:15,Finland:S::(some episodes),Finland:K-18::(self applied),France:13::(self-applied),Germany:12,India:U,Ireland:12::(most episodes, Season 2, 4-9 DVD),Ireland:15::(some episodes, Season 1, 3 DVD),Italy:T,Japan:PG12::(self-applied),Mexico:B,Netherlands:6,Netherlands:AL::(seasons 5 and 6),New Zealand:PG::(some episodes),New Zealand:M::(some episodes, Season 1-9 DVD),Norway:A::(Streaming rating),Norway:A::(TV rating),Philippines:PG-13,Russia:16+,Singapore:NC-16,Singapore:PG::(season 1),Singapore:NC16::(season 2),Singapore:M18::(season 3),Singapore:PG13::(season 8),South Korea:15,Spain:13,Sweden:11,United Kingdom:15::(Season 3 DVD),United Kingdom:12::(most episodes, Season 1-2, 4-9 DVD),United Kingdom:PG::(some episodes),United States:TV-14::(most episodes),United States:TV-PG::(some episodes)",9,tv series
6,Black Mirror,2011,18+,8.8,83%,1,0,0,0,1,NA,"Drama,Sci-Fi,Thriller",United Kingdom,English,60,NA,"Set in a world only minutes from our own, ""Black Mirror"" unveils how modern technologies can backfire and be used against their makers, every episode set in a slightly different reality with different characters combating different types of technologies.",8.8,"Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,Charles Babalola,Daniel Kaluuya,Toby Kebbell,Rory Kinnear,Hayley Atwell,Lenora Crichlow,Daniel Rigby,Jon Hamm,Bryce Dallas Howard,Malachi Kirby,Alex Lawther,Kelly Macdonald,Gugu Mbatha-Raw,Wyatt Russell,Georgina Campbell,Rosemarie DeWitt,Douglas Hodge,Maxine Peake,Jesse Plemons,Andrea Riseborough,Miley Cyrus,Anthony Mackie,Andrew Scott,Jessica Brown Findlay,Lindsay Duncan,Jodie Whittaker,Domhnall Gleeson,Chloe Pirrie,Michael Smiley,Rafe Spall,Madeline Brewer,Mackenzie Davis,Alice Eve,Jerome Flynn,Faye Marsay,Joe Cole,Jake Davies,Brenna Harding,Cristin Milioti,Kiran Sonia Sawar,Letitia Wright,Yahya Abdul-Mateen II,Damson Idris,Angourie Rice,Tom Cullen,Rupert Everett","Australia:MA15+::(TV rating),Brazil:16::(Netflix self-rating),Brazil:16::(Self-applied),Canada:TV-MA::(self-applied),France:16,Germany:16,Hong Kong:III,India:A,Ireland:15::(TV rating),Italy:VM14,Japan:R18+::(self-applied),Mexico:B15,Netherlands:16,New Zealand:R16::(TV rating),Norway:16::(Netflix self-rating),Russia:18+,Russia:16+::(TV rating),Singapore:R21,South Korea:18,Spain:16,United Kingdom:15::(most episodes, Season 1-3, 5 DVD),United Kingdom:18::(one episode, Season 4 DVD),United States:TV-MA",5,tv series
7,Supernatural,2005,16+,8.4,93%,1,0,0,0,1,NA,"Drama,Fantasy,Horror,Mystery,Thriller","United States,Canada",English,44,NA,"This television drama is about the two Winchester brothers, Sam and Dean, who were raised by their father, John, to hunt and kill all things that go ""bump in the night"" after his wife, Mary, was murdered by an evil supernatural being when the boys were young. 22 years later the brothers set out on a journey, fighting evil along the way, to find their recently missing father who, when they finally meet up with, reveals he knows what killed their mother, a demon and has found a way to track and kill it. Meanwhile, Sam starts to develop frightening abilities that include death visions, visions of people dying before it actually happens. These visions are somehow connected to the demon who murdered his mother and its mysterious plans that seem to be all about Sam. When their father dies striking a deal with the very same devil that had killed his wife, the brothers, now alone and without their mentor, are determined to finish the crusade their father started. But disturbing revelations about Sam's part in the demon's apocalyptic plans are presented when John's dying last words to Dean are revealed.",8.4,"Jared Padalecki,Jensen Ackles,Misha Collins,Mark Sheppard,Jim Beaver,Alexander Calvert,Mark Pellegrino,Samantha Smith,Ruth Connell,Rob Benedict,Kim Rhodes,Osric Chau,David Haydn-Jones,Curtis Armstrong,Lisa Berry,Genevieve Padalecki,Jeffrey Dean Morgan,Emily Swallow,Richard Speight Jr.,Cindy Sampson,Felicia Day,Ty Olsson,Rachel Miner,Amanda Tapping,Samantha Ferris,Keith Szarabajka,Erica Carroll,Mitch Pileggi,Kurt Fuller,Alaina Huffman,Erica Cerra,Alona Tal,Briana Buckmaster,Liane Balaban,Shoshannah Stern,Courtney Ford,Katherine Evans,Katie Cassidy,Lauren Cohan,DJ Qualls,Steven Williams,Kathryn Newton,James Patrick Stuart,Colin Ford,Julie McNiven,Tahmoh Penikett,Nicholas Elia,Sebastian Roché,Adam Fergus,Elizabeth Blackmore","Australia:MA15+,Brazil:14,Brazil:16::(season 2, 3 and 4),Canada:PG::(Canadian Home Video rating),Canada:14A::(Season 1),Denmark:15,Finland:K-16,France:16,Germany:16::(most episodes),Germany:18::(one episode),Germany:12::(some episodes),Hong Kong:IIB,Hungary:16,India:16+::(self-applied),Italy:BA,Japan:R18+::(self-applied),Malaysia:18::(some episodes),Mexico:B-15,Netherlands:16,Netherlands:12::(season 1),New Zealand:R16,New Zealand:R13::(Season 3),Norway:15,Russia:16+,Singapore:M18::(season 5),Singapore:M18::(season 1),Singapore:NC-16::(season 2),South Korea:15,Spain:12,Spain:16::(some episodes),Sweden:15,United Kingdom:15::(most episodes),United Kingdom:PG::(some episodes),United Kingdom:12::(some episodes),United States:TV-14",15,tv series
8,Peaky Blinders,2013,18+,8.8,92%,1,0,0,0,1,NA,"Crime,Drama",United Kingdom,"Italian,Yiddish,English,Romanian,Irish",60,NA,"Peaky Blinders is an English television crime drama set in 1920s Birmingham, England in the aftermath of World War I. The series, which was created by Steven Knight and produced by Caryn Mandabach Productions, Screen Yorkshire and Tiger Aspect Productions, follows the exploits of the Shelby crime family. Screen Yorkshire provided funding for the production through the Yorkshire Content Fund. It was the first production to receive funding from the Yorkshire Content Fund, which in turn made certain the majority of the show was filmed in Yorkshire as part of the deal.",8.8,"Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle,Ned Dennehy,Finn Cole,Ian Peck,Harry Kirton,Joe Cole,Natasha O'Keeffe,Packy Lee,Annabelle Wallis,Kate Phillips,Tony Pitts,Aimee-Ffion Edwards,Jordan Bolger,Sam Neill,Tom Hardy,Benjamin Zephaniah,Aidan Gillen,Charlie Murphy,Sam Claflin,Dave Simon,Patricia Winker,Adrien Brody,Iddo Goldberg,Anya Taylor-Joy,Charlotte Riley,Alfie Evans-Meese,Noah Taylor,Daryl McCormack,Alexander Siddig,Gaite Jansen,Brian Gleeson,Kevin Metcalfe,Jensen Clarke,Adam El Hagar,Jack Rowan,Sam Hazeldine,Billy Marwood,Neil Bell,Wendy Nottingham,Kingsley Ben-Adir,Daniel Fearn,William Atkinson,Luca Matteo Zizzari,Rob Day,Paddy Considine,Charlie Creed-Miles,Jan Bijvoet","Argentina:16,Australia:MA15+,Brazil:16::(Self-applied),Canada:14A::(Manitoba),Canada:R::(Ontario),Canada:13+::(Quebec),Colombia:18,France:10::(with warning),Germany:12,Germany:16::(DVD rating),India:A,Ireland:15,Italy:VM14,Japan:R18+::(self-applied),Mexico:TV-MA::(self-applied),Netherlands:16,New Zealand:R16,Norway:16::(Netflix self-rating),Russia:18+,Russia:16+::(TV rating),Singapore:R21,South Korea:18,Spain:16::(Netflix),United Kingdom:18,United States:TV-MA",6,tv series
9,Avatar: The Last Airbender,2005,7+,9.2,100%,1,0,0,0,1,NA,"Animation,Action,Adventure,Family,Fantasy,Mystery",United States,English,23,NA,"The world is divided into four elemental nations: The Northern and Southern Water Tribes, the Earth Kingdom, the Fire Nation, and the Air Nomads. The Avatar upholds the balance between the nations, but everything changed when the Fire Nation invaded. Only the Avatar, master of all four elements, can stop them. But when the world needs him most, he vanishes. A hundred years later Katara and Sokka discover the new Avatar, an airbender named Aang. Together they must help Aang master the elements and save the world.",9.2,"Dee Bradley Baker,Zach Tyler,Mae Whitman,Jack De Sena,Dante Basco,Michaela Jill Murphy,Mako,Grey Griffin,André Sogliuzzo,Cricket Leigh,Mark Hamill,Jennie Kwan,Olivia Hack,Greg Baldwin,Jim Meskimen,James Garrett,Jason Isaacs,James Sie,Scott Menville,Zachary Throne,Sab Shimono,Victor Brandt,Kevin Michael Richardson,Keone Young,Crawford Wilson,Clancy Brown,Nika Futterman,Richard McGonagle,Johanna Braddy,Takayo Fischer,Jason Charles Miller,Rene Auberjonois,Daniel Samonas,Clyde Kusatsu,Brian George,Michael Dow,Marc Graue,Jennifer Hale,Mia Ella Mimica,Phil LaMarr,Jon Polito,Jen Cohn,Bryan Konietzko,Robin Atkin Downes,Kristoffer Tabori,Wayne Duvall,Kim Mai Guest,Lex Lang,Tara Strong,Barbara Goodson","Australia:PG,Brazil:Livre,Brazil:10::(book 3),Canada:PG,Canada:G::(Quebec),Czech Republic:U::(self-applied),France:T,Germany:6,Hong Kong:I::(self-applied),Hungary:6,India:U::(self-applied),Ireland:PG,Ireland:G::(some episodes),Italy:T,Japan:G::(self-applied),Malaysia:P13,Mexico:A,Netherlands:6,New Zealand:PG,Nigeria:G::(self-applied),Russia:6+,Saudi Arabia:G::(self-applied),Singapore:PG,South Korea:7,Spain:A,Spain:10::(Catalonia),Spain:7::(Netflix self-rating),United Kingdom:PG::(some episodes),United Kingdom:U::(volume 3),United States:TV-Y7-FV",3,tv series
