Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Directors,Genres,Country,Language,Runtime,Age Restriction,Plotline,Rating,Cast,Indian Rating,Seasons Count,Kind
2800,Born This Way,2015,7+,8.3,,0,1,0,0,1,NA,"Comedy,Drama,Reality-TV",United States,English,41,NA,"Honesty, humor and heart are at the center of A&E's original docuseries, which highlights the outgoing personalities and amazing abilities of seven young adults born with Down syndrome. Hourlong episodes follow the Southern California residents as they pursue passions and dreams, explore friendships and romantic relationships, and generally defy society's expectations. The series also allows the parents to talk about the joy their children bring to their family, and the challenges they face in helping them live as independently as possible. The cast includes avid sportsman and self-professed ladies' man Sean; entertainer John; school employee Cristina; and budding entrepreneur Megan.",8.5,"Sean McElwee,Rachel Osterbach,John Tucker,Hiromi Ashmore,Stephen Ashmore,Kris Bomgaars,Megan Bomgaars,Claudia Clark,Dave Clark,Gary Osterbach,Laurie Osterbach,Bea Sanz,Cristina Sanz,Mariano Sanz,John Tucker Sr.,Joyce Tucker,Elena Ashmore,Steven Clark,Sandra McElwee,Sean Couevas,Hilary Gibbs,Heather Harrison,Parth Bhatt,Kennedy Hall,Christopher Tenney,Lian Castillo,James R. Menetrey,Addison Templeton","Norway:A::(TV rating),United States:TV-PG",4,tv series
2801,Criminal Justice,2008,,7.8,,0,1,0,0,1,NA,"Crime,Drama,Mystery",United States,English,525,NA,"Naz is a strait-laced Pakistani-American student who is off to a must-attend party on a Friday night. His only available transportation being his father's taxi cab, Naz sets off into Manhattan. But his party-going plans are quickly forgotten when a mysterious young woman jumps aboard in need of a ride. Charmed by her intense intrigue and good looks, Naz gets swept up by her pressures. After a mind-altering night of drugs and passion, the woman is dead, and Naz finds himself in the crosshairs of a gruesome murder investigation, panicked and shaken, but possibly with a trace of doubt as to his own innocence.",8.5,"Riz Ahmed,Bill Camp,Payman Maadi,John Turturro,Poorna Jagannathan,Jeannie Berlin,Syam M. Lafi,Michael Kenneth Williams,Amara Karan,Paul Sparks,Sofia Black-D'Elia,David Chen,David Cheekz Weeks,Afton Williamson,Joshua Bitton,Aaron Moten,Paulo Costanzo,Nabil Elouahabi,Mustafa Shakir,Lord Jamar,Esau Pritchett,J.D. Williams,Frank Wood,Chris McKinney,Ben Shenkman,Ariya Ghahramani,Victor Verhaeghe,Garrett Basch,Nicholas Zaillian,Charlie Hudson III,Donté Bonner,Brooke Alexandra,Glenne Headly,Mohammad Bakri,Glenn Fleshler,Don Harvey,Joseph Badalucco Jr.,Jeff Wincott,Steve Cirbus,Aubrey Joseph,James L. Ward,Bryan Burton,Fisher Stevens,Chris Perfetti,Eddie Cooper,Edwin Lugo,Frank De Julio,Mike Figueroa,Chip Zien,Ned Eisenberg","Australia:MA15+,Brazil:18,Canada:13+,Denmark:15,Finland:K-16,Ireland:15,Italy:VM12,Mexico:B15,Netherlands:16,Norway:15,Russia:18+,Singapore:M18,South Korea:18,Spain:18,Sweden:15,United Kingdom:15,United States:TV-MA",1,tv mini series
2802,F*ck That's Delicious,2016,18+,8.0,,0,1,0,0,1,NA,"Music,Reality-TV",United States,English,30,NA,"Chronicles the life and eating habits of rap's greatest bon vivant, Action Bronson. With the help of his friends Meyhem Lauren, The Alchemist and Big Body Bes, Action shows us that life is to be enjoyed as much as possible.",8.0,"Action Bronson,Meyhem Lauren,The Alchemist,Big Body Bes,Knxwledge,Mario Batali,Ben Shewry,John Basedow,Dallas Page,Matt Serra,Big Noyd",United States:TV-14,4,tv series
2803,Unikitty,2017,7+,5.7,,0,1,0,0,1,NA,"Animation,Short,Action,Comedy,Family,Fantasy","United States,Denmark",English,14,NA,"As ruler of the kingdom, Unikitty has busy days full of royal responsibilities. Unikitty is most interested in making sure everyone is happy and ridding the kingdom of negativity, but don't misunderstand her optimism, she is one kitty not to be crossed. While she may be full of boundless energy and creativity, Unikitty is a force to be reckoned with if anyone gets in the way of spreading her positive vibes, especially if anyone makes her little brother and best friend, Puppycorn, sad. Also living in the castle are Dr. Fox, the resident scientist, and Unikitty's trusty bodyguard, Hawkodile. Through it all, Unikitty and her friends make sure that every day is the happiest and most creative ever.",5.6,"Kate Micucci,Tara Strong,Grey Griffin,Roger Craig Smith,Evie Saide,Eric Bauza,Michael Croner,Trine Glud,Juliana Hansen,Keith Ferguson,John DiMaggio,Phil Hendrie,Lucian Perez,Will Arnett,Adriel Garcia,Careen Ingle","Australia:G,Brazil:Livre,Canada:G,Japan:G::(self-applied),Malaysia:U,Mexico:AA,New Zealand:G,Norway:7::(HBO/Toonix Kids),Russia:6+,Singapore:G,South Korea:7,Spain:TP,Turkey:7+,United Kingdom:U,United States:TV-Y7",3,tv series
2804,Abandoned,2016,16+,8.4,,0,1,0,0,1,Stephen Gaghan,"Drama,Mystery,Romance,Thriller","United States,Germany,Canada","English,Italian",99,"Rated PG-13 for drug and alcohol content, sexuality, some violence and language","A senior at an elite college, already under severe pressure to complete her thesis and land a prestigious job, must confront the sudden reappearance of her old boyfriend, after his two-year, unexplained absence.",4.9,"Katie Holmes,Benjamin Bratt,Charlie Hunnam,Zooey Deschanel,Fred Ward,Mark Feuerstein,Melanie Lynskey,Philip Bosco,Gabriel Mann,Will McCormack,Gabrielle Union,Greg Kramer,Gillian Ferrabee,Barry Julien,Tony Goldwyn,Scott Faulconbridge,Vanessa Petch,Victoria Petch,Kevin Ryder,Rachelle Lefevre,Paul Lemelin,Simon Peacock,Howard Bilerman,Mark Camacho,Mike Tsar,Robert Burns,Kim Lambert,Alicia Westelman,Jodie Resther,Bonnie Mak,Joe Cobden,Kwasi Songui,Jay Lavalley,Arthur Holden,Brett Watson,Noel Burton,Bill Rowat,Liz MacRae,Richard McConomy,Bill Corday,Gianpaolo Venuta,Sheena Larkin,Ivan Smith,Mike Paterson,Samir Mallal,David Gow,Tim Petch,Ryan Wilner,Charles S. Doucet,Charles Papasoff,Andrea Sadler,Christian Paul,Shawn Baichoo,Ryan Kennedy,Philip Le Maistre,Giancarlo Caltabiano,Joseph Baugniet,John Fallon,Daniel Lee,Malcolm Travis,Bryanne Hastings,Joan McBride,Aaron Baril,David Benson,Chris Burrage,Jonathan Davis,Jon Day,Benjamin Kwong,Kris Epps,Owen Meyers,Nathaniel Misri,Dantonio Pisano,David Podgorski,Mark Barter,Mark Biunno,Padraig Buttner-Schnirer,Chris Forbes,Fred Issid,Andrew Mangal,Nick Roy,Jonathan Stewart,Si-Wai Francis Zih,Ahad Sianati,Raffael Cavaliere,Marika Anthony-Shaw,Annesley Black,Marie Claude Harvey,Amelia McMahon,Tobie Miller,Anne-Lise Nadeau,Julie Paquet,Martine Poirier,Fanny Quenneville,Sahra Ucar,Shannon Simpson,Wing-Chan 'Emily' Chung,Marie-Noel Daignault,Nancy Duncan,Doherty Caitlin,Talya Grumberg,Rachel Moody,Jessica Muirhead,Bohdanna Novak,Gael O'Shaughnessy,Iwan Edwards,Shannon Cohen,Zosia Bornik,Michèle Tredger,Erica Danya Goldblatt,Daniel Murphy,Chad Connell,Christopher Dyson,Eric Biunno,Andrea Shuster,Edward Lafferty,Sherry O'Connell,Nathalie Beaudoin,Emily Lamarche,Andrew Burr,Mark Hauser,Jeffrey Wetsch,Sacha Medine,Eli Udell,John Gilbert,Bombyx Du Murier,Marc Gourdeau,Eric Benton,Claudia Besso,Josh Kimmel,Abby Tenenbaum,Camille Wainwright,Elizabeth Whitmere","Argentina:13,Australia:M,Brazil:16,Canada:PG,Canada:13+::(Quebec),Finland:K-15,Iceland:12,Italy:T,Netherlands:12,Norway:15,Philippines:PG-13,Singapore:PG,Singapore:PG13,South Korea:15,Sweden:15,United Kingdom:12,United States:PG-13",NA,movie
2805,I Am Frankie,2017,all,6.1,,0,1,0,0,1,NA,"Comedy,Drama,Sci-Fi",United States,English,22,NA,"""I Am Frankie"" is the story of Frankie, an experimental android who navigates the perils and wonders of being a teenager. Frankie looks like any other girl, but functions like the newest computer: complete with Internet access, extensive memory and a hard disk. Frankie goes to school and no one but the members of her family know her secret. She adapts to the real world quite well, despite having no feelings or emotions, but all that changes when she begins to experience family life, make friends and have a boyfriend.",6.2,"Alex Hook,Kyson Facer,Sophia Forest,Nicole Alyse Nelson,Carson Rowland,Michael Laurino,Mohana Krishnan,James D. Ballard,Todd Allen Durkin,Carrie Schroeder,Uriel Baldesco,Kristi Beckett,Joy Kigin,Armani Barrett,Jayce Mroz,Mark Jacobson,Tommi Rose,Zachary S. Williams,Amina Alzouma,J. Scott Browning,Jayme Lake,Tracy Wiu,Tracy Johnson,Tay Lindsey,Ashton Heathcoat,Justin Jarzombek,Rachael Thompson,Victor Jones,David Jachin Kelley,Dakota Haberland,Emily Rivero,Sean Patrick Dawson,Clayton Royal Johnson,JC Casely,Robert Small,Clayton Johnson,Emily-Rose Fabian,Josh Germain,Derek Russo,Elgin Kos Aponte,Justin Martinez Diaz,Daniel Capote,Niki Romano,Kawui Joa,Tangi Colombel,Lissa Grossman,Grant Koo,Alina Macualay,Melanie Salle,Aniela McGuinness",United States:TV-G,2,tv series
2806,Fashion House,2006,18+,6.5,,0,1,0,0,1,NA,"Drama,Romance",United States,English,60,NA,NA,6.6,"Robert Buckley,Natalie Martinez,Nicole Pulliam,Garrett Swann,Bo Derek,Joel Berti,Tony Tripoli,Morgan Fairchild,Taylor Kinney,Erika Schaefer,Mini Anden,Donna Feldman,Meggan Anderson,Mike Begovich,Jordi Vilasuso,Mark Totty,Daniel Chalfa,Ethan Erickson,James Black,Ron Roggé,Antonio Jaramillo,Blake Lindsley,Jim Holmes,Tisha Vaculin,Ben Reed,Daren Scott,Mark Gadbois,Tippi Hedren,Melissa Tan,Paul Eggington,Charley Rossman,Jennifer Dorogi,Ken Garcia,Nathalie Geld,Thania Peck,Paul Ganus,Jasmine Dustin,Duane Daniels,Bettina Adger,Sierra Fulcher,Filly Gaines,Tracey Heggins,Katie Leclerc,Megan Morrison,Carmen Pope,Charity Rahmer,D. Candis Paule,Jennifer Austin,Jon Briddell,Richard Bulda","Netherlands:6,United States:TV-14",1,tv series
2807,Kids Baking Championship,2015,all,7.0,,0,1,0,0,1,NA,Game-Show,United States,English,60,NA,NA,7.0,"Duff Goldman,Valerie Bertinelli,Linsey Lam,Abby Martin,Justice Faustina,Aidan Berry,Kaniyah Cary,Sam Occhiogrosso,Alex Czajka,Matthew Merril,Cole Frederickson,Bryn Montgomery,Meadow Roberts,Davis Sams,Paige Goehner,Reggie Strom,Graysen Pinder,Natasha Jiwani,Peggy Fischer,Jaxon Remillard,Nyah Rosado,Morgan Chaffin,Jane Haviland,Haylin Adams,Matthew Azuma,Rebecca Beale,Keaton Ashton,Madison Totaro,Liam Bizjack,Bella Luu,Yahshimabet Sellassie-Hall,Audra Tow,Jonah Anderson,Julia Betz,Naima Winston,Karthik Vemparala,Alex Portis,Taylor Pusha,Sophie Tate,Jason Intravartolo,Nemo Tsai,Taylor Inouye,Tarek Husseini,Trevin Alford,Luke Jonsson,Saylor Herrin,Issi Neufeld,Avner Schwartz,Reese Smith,Aditya Pillutla",United States:TV-G::(self-applied),9,tv series
2808,Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,2019,,7.4,,0,1,0,0,1,NA,"Animation,Action,Adventure,Comedy,Drama,Fantasy",Japan,Japanese,23,NA,"The goddess Rista summons a hero to help her hard mode video game-like world. The hero, Seiya, is exceptional in every way, but he is incredibly cautious. He does things like buy three sets of armor (one to wear, a spare, and a spare for the spare) and go full power against weak slimes (just in case).",7.4,"Yuichiro Umehara,Aki Toyosaki,Anthony Bowling,Jamie Marchi,Kengo Kawanishi,Aoi Koga,Chris Thurman,Sarah Wiedenheft,Hibiku Yamamura,Marissa Lenti,Atsushi Ono,Keiko Han,Zach Archibald,Jessica Cavanagh,Alex Mai,Chris Rager,Shiori Izawa,Yumiri Hanamori,Samantha Herek,Jeremy Inman,Madeleine Morris,Kylie Stewart,Christian Taylor,Alexis Tipton,Kotono Mitsuishi,Fairouz Ai,Randy E. Aguebor,Katelyn Barr,Drew Breedlove,Kimmie Britt,Justin Duncan,Emily Fajardo,Emi Lo,Ry McKeand,Kristi Rothrock,Greg Silva,Ryô Sugisaki,Kiba Walker,Chiaki Takahashi,Marika Kôno,Masako Katsuki,Tetsuo Kanao,Makoto Sahara,Keiji Fujiwara,Mari Hino,Hiroshi Tsuchida,Tia Lynn Ballard,Hitoshi Bifu,Ben Bryant,Joe Cucinotti","Australia:MA15+,Brazil:12,Germany:16,India:18::(self-applied),Malaysia:18::(DVD rating),Singapore:M18,United Kingdom:15,United States:TV-14",1,tv series
2809,Bizarre Foods with Andrew Zimmern,2006,7+,7.8,,0,1,0,0,1,NA,Reality-TV,United States,English,60,NA,NA,7.7,"Andrew Zimmern,Tim Mikeska,Bill Esparza,Arturo Feliz-Camilo,Anthony Bourdain,Matthew Cullipher,Ani Phyo,Wolfgang Puck,Daniel Lee Gray,Leland Melvin,Mykel Hawke Pierce,La Carmina,Yoshiro Nakamats,Enkhbayar Shagdarguntev,Rick Bayless,Luiza Brunet,Chris Cosentino,Nadia G.,Masaharu Morimoto,Dane Lawing,Chris Marino,Tommy Steward,Travis Milton,Fernando Benitez,Charles K. Campbell,Dean Combs,Ty Dillon,Matt Dylan,Sidney Edwards,Lauren Gerard,Robert Johnson,Martin King,Agnieszka Kreglicka,Angus Macfadyen,Ralph Manley,James Megellas,Martine Michiels,Reginald Michiels,Doug Mitchell,Patrick Mulvaney,Buck Nance,Maciej Nowicki,Ted Paluch,Katie Parla,Helen Patton,Pablo Salas,Marcel Schmetz,Mathilde Schmetz,Bernice Shoe,Boot Shoe",NA,12,tv series
